City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,iskateley,67.6803,53.1512,-13.32,84,18,7.15,RU,1706998999
202,banes,20.9625,-75.7186,24.13,68,76,4.72,CU,1706998999
203,luanda,-8.8368,13.2343,27.0,89,20,3.09,AO,1706999000
204,hermanus,-34.4187,19.2345,24.33,83,63,3.27,ZA,1706998791
205,masuguru,-11.3667,38.4167,23.27,98,99,1.51,TZ,1706999000
206,sanctuary point,-35.1114,150.629,24.55,64,88,3.52,AU,1706999001
207,masterton,-40.9597,175.6575,18.94,39,6,1.96,NZ,1706999001
208,porto novo,6.4965,2.6036,28.9,58,27,1.97,BJ,1706999002
209,vershino-darasunskiy,52.35,115.5167,-28.6,99,17,1.06,RU,1706999002
210,ostersund,63.1792,14.6357,-0.75,86,40,15.43,SE,1706998886
211,ingeniero guillermo n. juarez,-23.9,-61.85,41.42,17,36,2.37,AR,1706999003
212,waycross,31.2136,-82.354,20.13,63,0,6.17,US,1706999004
213,usinsk,65.9939,57.5281,-22.18,100,18,2.68,RU,1706999004
214,mahanoro,-19.9,48.8,24.37,83,100,1.84,MG,1706999005
215,bosaso,11.2842,49.1816,23.44,78,2,1.47,SO,1706999005
216,qaqortoq,60.7167,-46.0333,-20.2,67,8,4.29,GL,1706999005
217,an nuhud,12.7,28.4333,17.17,18,63,6.38,SD,1706999006
218,ha tinh,18.3333,105.9,20.51,97,26,0.14,VN,1706999006
219,xichang,27.8964,102.2634,2.93,89,5,0.56,CN,1706999006
220,birao,10.2849,22.7882,20.41,17,32,3.06,CF,1706999007
221,sile,41.1754,29.6133,6.43,58,50,1.34,TR,1706999008
222,igunga,-4.2833,33.8833,19.13,94,96,1.38,TZ,1706999008
223,marathon,44.9,-89.7668,3.02,71,0,0.45,US,1706999008
224,fort-shevchenko,44.5086,50.263,2.37,85,100,6.15,KZ,1706999009
225,mhangura,-16.8939,30.1683,17.87,91,81,1.24,ZW,1706999009
226,jinchang,38.4953,102.1739,-7.98,72,5,0.92,CN,1706999010
227,hilo,19.7297,-155.09,24.49,65,100,7.2,US,1706998890
228,okha,53.5739,142.9478,-23.06,91,5,6.47,RU,1706999012
229,chhor,25.5167,69.7667,19.39,64,89,2.56,PK,1706999013
230,ekuvukeni,-28.4675,30.1551,18.2,96,100,1.65,ZA,1706999013
231,mana,5.6592,-53.7767,26.44,85,37,5.93,GF,1706999013
232,khandyga,62.6667,135.6,-44.12,100,69,0.98,RU,1706999014
233,alice springs,-23.7,133.8833,27.75,32,100,2.57,AU,1706999015
234,broome,42.2506,-75.833,1.21,78,0,3.09,US,1706999016
235,hurricane,37.1753,-113.2899,11.39,59,14,4.92,US,1706998733
236,thomaston,32.8882,-84.3266,16.14,52,73,1.34,US,1706999016
237,east london,-33.0153,27.9116,24.94,86,84,3.3,ZA,1706998850
